YEAR,BFISH,PSU,STRATA_2020,APRU,ETCA,ETCO,HYQU,PRFI,PRSI,PRZO
2016,BFISH_2016_F,89,S01,0,0,0,0,0,0,0
2016,BFISH_2016_F,93,S24,0,0,0,0,0,0,0
2016,BFISH_2016_F,201,S22,0,0,0,0,0,0,0
2016,BFISH_2016_F,247,S12,0,0,0,0,0,0,0
2016,BFISH_2016_F,286,S22,0,0,0,0,0,0,0
2016,BFISH_2016_F,306,S16,0,1.342006005,0,0,0,13.1398843,0
2016,BFISH_2016_F,321,S22,0,6.652457514,0,0,0,0,0
2016,BFISH_2016_F,322,S04,0,0,0,0,0,0,0
2016,BFISH_2016_F,415,S16,0,1.082708271,0,0,0,0,0
2016,BFISH_2016_F,420,S24,0,0,0,0,0,0,0
2016,BFISH_2016_F,422,S22,0,0,0,0,0,5.08523571,0
2016,BFISH_2016_F,538,S21,0,3.693797331,0,0,0,0,0
2016,BFISH_2016_F,672,S20,0,3.111206903,0,0,0,0,0
2016,BFISH_2016_F,720,S15,0,0,0,0,5.854419587,0,0
2016,BFISH_2016_F,853,S16,0,0,0,0,0,9.088762264,0
2016,BFISH_2016_F,881,S16,0,0,0,0,0,0,0
2016,BFISH_2016_F,909,S16,0,0,0,0,0.5451965593,0,0
2016,BFISH_2016_F,935,S12,0,2.276334782,0,0,4.074268519,0,0
2016,BFISH_2016_F,945,S22,0,0,0,0,0,0,0
2016,BFISH_2016_F,1001,S22,0,3.93955116,0,0,0,0,0
2016,BFISH_2016_F,1027,S16,0,0,0,0,0,0,0
2016,BFISH_2016_F,1122,S04,0,0,0,0,0,0,0
2016,BFISH_2016_F,1178,S12,0,0,0,0,0.3235904161,0,0
2016,BFISH_2016_F,1206,S11,0,0,0,0,0,0,0
2016,BFISH_2016_F,1255,S12,0,0,0,0,0,0,0
2016,BFISH_2016_F,1322,S22,0,0,0,0,0,0,0
2016,BFISH_2016_F,1509,S16,0,2.71973191,0,0,0,0,0
2016,BFISH_2016_F,1514,S16,0,2.052147648,0,0,0,0,0.5349068801
2016,BFISH_2016_F,1553,S16,0,2.052147648,0,0,0,5.08523571,0.7739513499
2016,BFISH_2016_F,1598,S22,0,2.257291116,0,0,0,0,0
2016,BFISH_2016_F,1700,S24,0,0,0,0,0,0,0
2016,BFISH_2016_F,1734,S16,0,1.401541671,0,0,0.1313342168,0,0
2016,BFISH_2016_F,1776,S22,0,0.8186848184,0,0,0,0,0
2016,BFISH_2016_F,1805,S12,0,0,0,0,0,0,0
2016,BFISH_2016_F,1835,S14,0,0,0,0,0,0,0.7792670142
2016,BFISH_2016_F,1845,S22,0,1.343303277,0,0,0,0,0
2016,BFISH_2016_F,1848,S01,0,0,0,0,0,0,0
2016,BFISH_2016_F,1856,S24,0,0,0,0,0,0,0
2016,BFISH_2016_F,1870,S22,0,0,0,0,0,0,0
2016,BFISH_2016_F,2052,S16,0,5.087788439,0,0,0,0,0
2016,BFISH_2016_F,2074,S22,0,1.560038021,0,0,0,0,0
2016,BFISH_2016_F,2075,S24,0,0,0,0,0,0,0
2016,BFISH_2016_F,2232,S12,0,1.550096212,0,0,0,0,0
2016,BFISH_2016_F,2432,S22,0,0,0,0,0,0,0
2016,BFISH_2016_F,2443,S22,0,0,0,0,0,0,0
2016,BFISH_2016_F,2473,S22,0,0,0,0,0,0,0
2016,BFISH_2016_F,2546,S22,0,6.780619991,0,0,0,0,0
2016,BFISH_2016_F,2549,S03,0,0,0,0,0,0,0
2016,BFISH_2016_F,2577,S16,0,0,0,0,0,2.816925363,0
2016,BFISH_2016_F,2580,S22,0,1.082708271,0,0,0,0,0
2016,BFISH_2016_F,2592,S04,0,0,0,0,0,0,0
2016,BFISH_2016_F,2597,S12,0,0,0,0,0,0,0
2016,BFISH_2016_F,2600,S21,0,1.515937913,0,0,0,0,0
2016,BFISH_2016_F,2617,S04,0,0,0,0,0,0,0
2016,BFISH_2016_F,2678,S05,0,0,0,0,0,0,0
2016,BFISH_2016_F,2906,S01,0,0,0,0,0,0,0
2016,BFISH_2016_F,3037,S14,0,0,0,0,0,0,0
2016,BFISH_2016_F,3307,S05,0,0,0,0,0,0,0
2016,BFISH_2016_F,3480,S05,0,0,0,0,0,0,0
2016,BFISH_2016_F,3489,S01,0,0,0,0,0,0,0
2016,BFISH_2016_F,3767,S20,0,0,0,0,0,0,0
2016,BFISH_2016_F,3797,S05,0,0,0,0,0,0,0
2016,BFISH_2016_F,3803,S12,0,0,0,0,0,0,0
2016,BFISH_2016_F,3909,S20,0,0,0,0,0,0,0
2016,BFISH_2016_F,3996,S24,0,0,0,0,0,0,0
2016,BFISH_2016_F,4008,S05,0,0,0,0,0,0,0
2016,BFISH_2016_F,4082,S11,0,0,0,0,0,0,0
